,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,skill_value
0,202001231902116-1-IITDIDOXWT8PKX,牧师牧师,300.0,300.0,备战区,0,0,86,1
0,201911081502116-1-CMMMM3MKRWWCE9,战狼丨大师兄,1400.0,2200.0,备战区,6,6,290,1
0,202001270902116-1-LRGTBYQ8VX8BVE,大荒丨花渐月,1000.0,1488.0,征服赛季,14,5,128,1
0,202001291602116-1-3SRSXQJLEXRMB2,破阵丨云中鹤,2999.0,2999.0,征服赛季,2,8,235,1
0,201910021802116-1-UNWEUJSV4XBHJT,常威打来福,888.0,1500.0,备战区,4,4,134,1
0,202001291402116-1-ALLLIDIQPZYOSY,魏乄天古O氓,3000.0,3000.0,备战区,0,7,321,1
0,202001231402116-1-MKD7OROL4PVMYO,伏羲八卦,1600.0,1600.0,备战区,4,8,198,1
0,202001281202116-1-9ACSE1ASCQQQ14,种花丨山水,1500.0,1300.0,征服赛季,0,4,258,1
0,201912172202116-1-178DHPDEKCJAYL,楓丶九歌,300.0,299.0,备战区,9,2,107,1
0,202001291202116-1-F0OC0FFNMTCBGO,秃头程序员,888.0,888.0,征服赛季,6,7,252,1
0,202001282302116-1-TBSNOPJC0ALSTF,草帽海贼团,300.0,300.0,备战区,0,1,75,1
0,202001290002116-1-OUOWH9DHTKFF29,好吗宝贝,3999.0,1999.0,征服赛季,0,7,179,1
0,202001131302116-1-B5RFXVEXUYY0XP,楚战丶霸王,830.0,1599.0,征服赛季,7,4,245,1
0,202001291502116-1-KHKBMOVVXXQALI,益州刘玥,666.0,666.0,征服赛季,0,2,177,1
0,202001291502116-1-ZXJUXOPXNDHJEJ,神丨白月光,800.0,800.0,征服赛季,0,3,161,1
0,202001051302116-1-2ZMYXNS6XKGQ6X,冰霜大圣,1999.0,1700.0,征服赛季,20,6,206,1
0,201908192302116-1-0KC7CWQGUKM8G4,弑天丨食神,888.0,2500.0,备战区,4,3,218,1
0,202001260402116-1-SBTOMPTHAKIMGF,Tiger,968.0,998.0,征服赛季,9,4,210,1
0,202001280002116-1-8AXIMMOLCZDC6U,皇家壹号会所,678.0,678.0,备战区,16,4,182,1
0,201909062002116-1-EALACPI4V7A80W,上洛十二卫,1200.0,2550.0,备战区,1,6,183,1
0,201912290802116-1-FFV7TDACOVIAJM,炸了八八,2080.0,2799.0,备战区,1,6,224,1
0,202001071402116-1-XZMALYBWGPRKNO,風丨越陌度阡,2050.0,2300.0,征服赛季,12,9,233,1
0,202001291202116-1-IKJTIDGXNK3FUU,龍丨低调人生,2500.0,2500.0,备战区,1,4,261,1
0,201912151102116-1-YCLMGMAUORCXIK,赵郡十一骑,210.0,400.0,备战区,2,2,87,1
0,202001281102116-1-5H46SPB8S9LCWU,心之轨迹,1100.0,1200.0,征服赛季,13,8,214,1
0,202001291202116-1-J9AJRXDJ7EW2XG,漢丨公子白,400.0,450.0,备战区,7,3,128,1
0,202001291402116-1-UOVNHML0MIIWQT,幸运颜色,1199.0,899.0,备战区,1,7,272,1
0,201908272302116-1-AD26TQW4D97XNH,義丨牧光,1222.0,2000.0,备战区,5,6,194,1
0,202001290002116-1-JZ2NWOMZIB5CYI,汝阴铁浮屠,999.0,999.0,备战区,10,4,292,1
0,202001262302116-1-PQLKHRLR5DLFQD,空气,866.0,200.0,备战区,198,3,136,1
0,202001231402116-1-JBXGHHKU1L0SXB,少妇使我快乐,305.0,305.0,备战区,4,2,139,1
0,201910072202116-1-ZG0NQYXNYJUXXP,战歌L,2200.0,2200.0,备战区,5,8,225,1
0,202001262302116-1-QNJTAF8F1LWPI2,城管政法委,580.0,200.0,征服赛季,96,3,131,1
0,202001262102116-1-OBQL3K3IIHJ5PU,嘉成,3000.0,2500.0,备战区,3,8,251,1
0,202001291402116-1-1MR1FGSAYPZJI0,基丨秦漫漫,3666.0,3666.0,征服赛季,1,8,443,1
0,202001241302116-1-JX9EFLHHBEXADZ,逆丨十三,1500.0,1200.0,征服赛季,0,5,195,1
0,202001061902116-1-HPGG3LATXR56HI,Shinn,3800.0,4000.0,备战区,21,7,458,1
0,202001291302116-1-C0ACVECJUWNDFB,三晋散骑,1250.0,1099.0,备战区,0,7,213,1
