,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,description
0,201906191102116-1-FHBYBNBILKSHFB,伤宇,800.0,1000.0,备战区,8,3,170,"缺少,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001221102116-1-879G1JH5RZS8SQ,蜀l官人,500.0,300.0,备战区,0,4,146,"缺少,步刘备,弓张机,弓吕蒙,步皇甫嵩,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001220002116-1-HXPVI42GHQRBNS,扶闲止一,540.0,550.0,征服赛季,45,4,210,"缺少,步刘备,弓吕蒙,弓孙权,步皇甫嵩,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001230802116-1-HKAJTPQVH2MJX8,夜阑丶奇謀,2000.0,2099.0,备战区,14,7,400,"缺少,步刘备,弓张机,骑马超,骑张辽,步貂蝉,弓诸葛亮"
0,202001121702116-1-0KJP6O0U83FHAP,冲鹰,1000.0,1555.0,备战区,0,3,223,"缺少,弓张机,弓吕蒙,骑曹操,步皇甫嵩,步董卓,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001212102116-1-XO5USF3G9JJ1MT,万里长风,200.0,200.0,征服赛季,0,1,81,"缺少,步刘备,弓张机,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201911220302116-1-UMTZDGGBJYX5RX,W1448,1188.0,800.0,征服赛季,61,1,162,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001300202116-1-LK1O3GRPBBN4E4,北尽丨小九,200.0,200.0,征服赛季,0,0,101,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001291902116-1-JOSJ4KJQHZW5QH,北斗熊,1455.0,1455.0,备战区,0,7,365,"缺少,步刘备,步皇甫嵩,步董卓,弓吕布,骑张辽,弓诸葛亮"
0,201908082202116-1-0WZD6ZOUAWXOCL,貂丨独活小张,749.0,999.0,备战区,13,3,237,"缺少,步刘备,弓吕蒙,弓孙权,步皇甫嵩,步董卓,弓吕布,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
